Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Lagori,2017,48,Drama,7.2,13,K Sukumar,Abhijeet K.,Kainat Ahmed,Akash,35,1.39
Laila Manju,2020,,,6.7,7,Prem Soni,Jimmy Sheirgill,Shashank Vyas,Abhimanyu Tomar,32,5.6
Lakme,2016,110,Romance,,,Sanjay Khandelwal,Prince Adhikari,Rayya Labib,S.A. Rashid,68,1.6
Lashtam Pashtam,2018,108,Drama,6,77,Manav Bhalla,Dolly Ahluwalia,Priyanshu Chatterjee,Tisca Chopra,16,0.95
Looop Lapeta,2021,,Action,,,Aakash Bhatia,Shreya Dhanwanthary,Taapsee Pannu,Tahir Raj Bhasin,53,23
Love Breakups Zindagi,2011,156,Comedy,5.8,"1,006",Sahil Sangha,Zayed Khan,Dia Mirza,Cyrus Sahukar,13,10.54
M.S. Dhoni: The Untold Story,2016,184,"Biography, Drama, Sport",7.9,"43,713",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,8,7.32
Maali,2020,85,Drama,,,Ashwini Malik,Prabhat Raghunandan,Swati Sen,Gaurav Sharma,15,9
Maassab (The Teacher),2018,116,Drama,8.6,155,Aditya Om,Shiva Suryavanshi,Sheetal Singh,Manveer Choudhary,23,56
Machaan,2021,124,Drama,8.6,93,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal,45,79.6
Made in China,2019,128,Comedy,6.2,"3,845",Mikhil Musale,Boman Irani,Rajkummar Rao,Mouni Roy,48,26
Madmast Barkhaa,2015,102,Romance,3.6,27,Jaspal Singh,Ekaansh Bhaardwaaj,Mithilesh Chaturvedi,Farida Dadi,80,0.04
Mad'ouk - Toughened by Life,2021,79,Documentary,,,Bharat Talaviya,Arvind Bijwe,Hari Damalpatti,Raj Vadgama,12,12
Mahanadhi,2013,,Drama,,,Krishnappa Uppur,Sanjjanaa Galrani,Sadhu Kokila,Rangayana Raghu,25,45
Mahayoddha Rama,2016,106,Animation,7.7,35,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover,15,96
Main Hoon Rajinikanth,2015,127,Comedy,7.3,35,Faisal Saif,Shakti Kapoor,Smita Gondkar,Sameer Khan,20,39
N.H 10,2015,115,Action,7.2,"12,421",Navdeep Singh,Darshan Kumaar,Neil Bhoopalam,Anushka Sharma,110,46.72
Naam Shabana,2017,147,Action,6.3,"5,924",Shivam Nair,Manoj Bajpayee,Akshay Kumar,Taapsee Pannu,75,82.4
Nagin,1976,180,Fantasy,6.3,442,Rajkumar Kohli,Sunil Dutt,Feroz Khan,Vinod Mehra,20,315
Nail Polish,2021,128,Drama,7.4,"3,737",Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari,19,169
Nanak Shah Fakir,2014,146,Drama,8.2,344,A.K. Bir,Arif Zakaria,Puneet Sikka,Adil Hussain,79,6
Nartaki,1940,150,Drama,6.5,11,Debaki Bose,Leela Desai,Bhanu Bannerjee,Najmul Hussain,19,1.5
