Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
hate story 2,2014,130,Romance/ Thriller,4.4,76,Vishal pandya,jay bhanushali,Surveen chawla,sushant singh,150000000,320000000
Hello Zindagi,2010,95,Drama,6,"12,059",Raja Unnithan,Milind Gunaji,Mrunmayee Lagoo,Neena Gupta,8000000,800000
Hello! Hum Lallan Bol Rahe Hain,2010,130,Comedy,6,"56,297",Dileep Shukla,Rajpal Yadav,Preeti Mehra,,20000000,70000000
Helmet,2021,104,Comedy,6.8,"3,141",Satram Ramani,Pranutan Bahl,Arunita Jha,Aparshakti Khurana,40000000,#VALUE!
highway,2014,133,Romance/ Drama,7.6,3498,Imtiaz Ali,Randeep Hooda,Alia bhatt,Durgesh Kumar,250000000,480000000
himmatwala,2013,150,Action/ Comedy,1.7,31,ronnie screwvala,Ajay Devgn,tamannah,Mahesh Manjrekar,680000000,650000000
Hindi Medium,2017,132,Comedy/Drama,7.8,"27,949",Saket Chaudhary,Irrfaan Khan,Saba Qamar,Dishita Sehgal,140000000,3220000000
Housefull,2010,155,Comedy,6,"89,054",Sajid Khan,Akshay Kumar,Deepika Padukone,Arjun Rampal,300000000,1240000000
I Hate Luv Storys,2010,129,Comedy/ Drama/ Romance,5.6,"7,675",Punit Malhotra,Imran Khan,Sonam Kapoor,Sammir Dattani,300000000,820000000
Ishqiya,2010,115,Comedy,7,"11,658",Abhishek Chaubey,Naseeruddin Shah,Vidya Balan,Rajesh Sharma,190000000,310000000
jai ho,2014,135,Action/ Drama,5,14630,sohail khan,Salman Khan,daisy shah,Tabu,650000000,1950000000
Jhund,2022,175,Action/ Thriller,8.6,951,Nagraj Manjule,Amitabh bachchan,Akash thosar,rinku rajguru,300000000,135100000
Jhund,2021,175,Drama/Sport,8.6,134,Nagraj Manjule,Amitabh Bachchan,Ankush Gedam,Rinku Rajguru,220000000,23000000
Judwaa,1997,138,Action/ Comedy/ Drama,6.1,"5,679",David Dhawan,Salman Khan,Karisma Kapoor,Rambha,62000000,242000000
Judwaa 2,2017,145,Action/ Comedy,3.6,"9,622",David Dhawan,Varun Dhawan,Jacqueline Fernandez,Taapsee Pannu,650000000,2270000000
Junglee,2019,115,Action/ Adventure/ Thriller,5.6,"1,658",Chuck Russell,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat,220000000,240000000
Junooniyat,2016,155,Romance/ Drama,4.1,7852,Vivek Agnihotri,Pulkit Samrat,Yami Gautam,gulshan devaiah,40000000,90000000
